Bus number,typeindx,sourceindx,stid,cyid,TIER1,TIER2,TIER3,Fuel Type,Min MW,Max MW
1,2,1817,36,045,1,4,99,WND,3,338
3,2,1841,36,093,1,3,1,NG,298,686
7,2,39009,09,009,1,3,1,NG,139,674
8,2,49001,09,001,1,1,1,BIT,189,611
10,2,285,09,011,1,4,99,NUC,1406,2271
24,2,2281,44,007,1,3,1,NG,288,541
26,2,2776,50,007,1,3,1,NG,120,300
28,2,1146,23,005,1,3,1,NG,216,592
30,2,1196,50,025,1,3,1,NG,125,263
31,4,283,09,007,1,2,1,RFO,241,800
32,2,285,09,011,1,3,1,NG,163,683
33,2,1186,25,005,1,4,99,NUC,379,664
34,2,283,25,017,1,3,1,NG,295,1237
35,2,1195,25,023,1,4,99,NUC,924,1386
36,2,1184,25,001,1,3,1,NG,140,588
37,2,2785,50,025,1,2,1,RFO,100,567
38,2,1151,23,015,1,2,1,RFO,208,872
49,2,280,09,001,1,3,1,NG,320,607
52,2,280,09,001,1,3,1,NG,162,1642
54,2,280,09,001,1,3,1,NG,208,546
56,2,283,09,007,1,3,1,NG,416,728
69,2,285,09,011,1,3,1,NG,149,520
72,2,284,09,009,1,3,1,NG,85,263
76,2,287,09,015,1,3,1,NG,435,882
78,2,1152,23,017,1,3,1,NG,130,288
80,2,1153,23,019,1,3,1,NG,113,578
82,2,1148,23,009,1,3,1,NG,176,313
84,2,1155,23,023,1,2,1,RFO,169,888
103,2,1196,25,025,1,3,1,NG,208,916
120,2,1188,25,009,1,2,1,RFO,161,845
128,2,1197,25,027,1,3,1,NG,180,378
130,2,1197,25,027,1,3,1,NG,115,267
141,2,1186,25,005,1,1,1,BIT,877,1691
143,2,1190,25,013,1,3,1,NG,155,303
146,2,1194,25,021,1,3,1,NG,300,607
149,2,1190,25,013,1,3,1,NG,186,274
157,2,1737,33,013,1,1,1,BIT,288,521
162,4,1738,33,015,1,3,1,NG,230,636
165,2,1738,33,015,1,4,99,NUC,782,1304
166,4,1737,33,011,1,3,1,NG,277,830
175,2,2281,44,007,1,3,1,NG,209,626
176,2,2281,44,007,1,3,1,NG,86,267
