Low Estimate,High Estimate
8.520362785065138e-11,1.0544976398357857e-10
-107863.97100344882,-145422.33280972386
-0.001008673309115693,-0.0008809010942059103
2.7066562324762344e-09,3.4779077395796776e-09
-1.3969838619232178e-09,-1.7462298274040222e-09
-67420.86847036192,-85928.1055729154
-4.729372449219227e-11,-2.1100277081131935e-10
-43280.45774046045,-59711.02047785958
-2.0954757928848267e-09,-2.6775524020195007e-09
-111987.40072721706,-157807.15022162494
-86153.20734103996,-114647.6715958642
-4.984030965715647e-10,-6.621121428906918e-10
-89493.20851914851,-150846.17810791405
-7.159542292356491e-09,-9.022187441587448e-09
-30582.19225243922,-51977.72293361297
-72880.0548695295,-97740.68930177568
-28286.51661405849,-39920.63266612726
-109396.33918747371,-145700.903301763
-109396.27560218607,-145700.8349064063
-109396.30663865671,-145700.86789583156
-107205.60419688106,-147070.47565279214
-86153.20300516736,-114647.66651797891
-116947.61976617889,-158708.81347862404
-86601.91063650094,-111840.8233614104
-39571.67286413788,-53061.24961143391
-18270.79072078235,-24131.799328817375
-17638.750209289326,-23583.087865678746
-32178.878597219904,-45310.586482142084
-49798.647283257844,-85348.34544891505
-54656.291629863306,-71316.02992533568
-66307.88213201884,-106133.7029322479
-66307.7483397948,-106133.5579028741
3.637978807091713e-12,-4.3655745685100555e-11
-73538.52665944993,-117005.71346828394
-51871.639715519224,-90507.97771294846
-73538.57378359161,-117005.7605624511
-70215.74562840858,-106028.64001998125
-60241.66288344009,-77628.65388412084
0.0,0.0
-64113.13027927287,-81007.86519363496
-67420.96347546634,-85928.21435542255
-67420.85838221967,-85928.09322886828
0.0,0.0
-1027.2759143185772,-1384.9745981878687
-1.1036034891276358e-05,-9.637586146027388e-06
0.0,0.0
0.0,0.0
-1487.2250397877222,-1895.4729170500202
0.0,0.0
-1064.27355099456,-1468.3037822419665
0.0,0.0
-10514.491477872642,-14816.505476311875
-942.7098675615674,-1254.5033974016033
0.0,0.0
-94147.24319837257,-158690.83309078065
0.0,0.0
-32172.59878344658,-54680.789781735235
-24821.64010781777,-33288.72649838074
-9550.036116856027,-13477.922678530489
-1197.0420093458965,-1594.295598438329
-1197.041313580628,-1594.2948500403181
-1197.0416531883727,-1594.2952110174656
-1173.0704410608148,-1609.2818004570117
-942.709820117772,-1254.5033418386397
-1279.6700035199754,-1736.6313936863958
-947.6196908548411,-1223.7901644403285
-973.0739228892998,-1304.784826511525
-449.2817390359389,-593.4049015286997
-433.73975924395813,-579.9119966959042
-10864.167440463889,-15297.667905997798
-52388.39275410421,-89786.82928590453
-5067.293775591082,-6611.8513306354
-69756.17936098645,-111653.11543576709
-69756.03861098955,-111652.96286424069
0.0,0.0
-77362.84873924912,-123090.51763565013
-54569.18977656169,-95214.78478794084
-77362.89831404923,-123090.56717891662
-38417.84583297522,-58012.51428311651
-754.5928544894152,-972.383973495722
0.0,0.0
-803.0872268810275,-1014.7122988774532
-1487.2271354881318,-1895.4753166636058
-1487.2248172553298,-1895.4726447550784
0.0,0.0
-6838.722515322579,-9219.973753652972
-6.130566390538661e-06,-5.353478542247103e-06
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-3405.67536318409,-4698.572103176247
0.0,0.0
-1268.8936013023863,-1788.0626021824262
-523.7277042013218,-696.9463318903634
0.0,0.0
-4401.941134094169,-7419.736171287908
0.0,0.0
-1504.2595105753192,-2556.6507271791825
0.0,0.0
-239.78644900604817,-338.40952845811864
-665.0233385250951,-885.7197769096566
-665.0229519893849,-885.719361133703
-665.0231406613501,-885.7195616778549
-651.7058005890838,-894.0454446980075
-523.7276778427993,-696.9463010209347
-710.9277797328239,-964.7952187140177
-526.4553838077397,-679.883424688416
-3113.836553244295,-4175.311444834992
-1437.7015649144514,-1898.895684891114
-1387.967229582908,-1855.7183894297975
-272.7822282637731,-384.1004809163331
-2449.4675911797153,-4198.065962491231
-128.19315953122108,-167.26760870027374
-3261.514462398018,-5220.444326244521
-3261.5078815028232,-5220.437192623003
0.0,0.0
-3617.171300475691,-5755.210608299177
-2551.4327660717777,-4451.855025100151
-3617.1736183910302,-5755.212924740089
-6503.388703063205,-9820.382216779175
-2434.3247233395928,-3136.921232657975
0.0,0.0
-2590.7680940280006,-3273.4728688928603
0.0,0.0
0.0,0.0
0.0,0.0
-4285.208099730124,-5777.322609585248
-3.923454293897066e-06,-3.426086493618641e-06
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-1880.2166067581506,-2594.003348628904
0.0,0.0
-601.1286989030893,-847.0810669263366
-335.1857306882742,-446.04565240908966
0.0,0.0
-2104.0115112302888,-3546.43777350139
0.0,0.0
-718.9962858918129,-1222.0114709205543
0.0,0.0
-86.21879996225212,-121.68020153099371
-425.6149366571135,-566.860657223551
-425.6146892729741,-566.8603911252637
-425.61481002276105,-566.8605194731806
-417.0917123763837,-572.1890846059031
-335.18571381893696,-446.04563265280575
-454.99377902975954,-617.4689399779451
-336.9314456376918,-435.12539180155
-1719.0972637690832,-2305.1198601677593
-793.731072297036,-1048.3486593676398
-766.2735746665686,-1024.5111941656683
-98.08292532564187,-138.1090660746248
-1170.7807649482934,-2006.564567976399
-26.555692495644173,-34.650110796622016
-1558.9177055948062,-2495.2344026313544
-1558.9145601018656,-2495.230992950145
0.0,0.0
-1728.9122735745786,-2750.8385506617765
-1219.5174234307435,-2127.8690318209497
-1728.9133814769284,-2750.8396578594084
-1318.449503713772,-1990.9125305538146
-748.3045807027509,-964.2807737175654
0.0,0.0
-796.394833322494,-1006.2563630519174
0.0,0.0
0.0,0.0
