Low Estimate,High Estimate
-52853.1180949199,-64638.08093827322
-108497.1112067883,-146102.54119157977
17.827082666699425,17.369600509118754
-2.168235369026661e-09,-3.026798367500305e-09
3.3614924177527428e-09,4.336470738053322e-09
-68984.1720781998,-87595.39441773255
1.7389538697898388e-09,2.4883775040507317e-09
-41324.89111439936,-57613.463594981586
7.275957614183426e-11,5.820766091346741e-11
-112516.8714486787,-158381.40119815565
-86524.24035784072,-115044.6995675603
-4.852154233958572e-10,-6.784830475226045e-10
-89712.94418000407,-151119.3277581317
3.637978807091713e-10,1.1641532182693481e-10
-30594.894365883105,-52007.11762589883
-73212.13117706866,-98096.37579465623
-28404.651848439593,-40050.52965183969
-109813.5378654,-146149.90920904305
-109825.63202616463,-146161.1669294996
-109705.73761788194,-146032.4900979347
-107803.45373080095,-147712.9449735667
-86611.47505671045,-115135.14396721523
-117387.11193519829,-159176.53502164484
-87228.87134578792,-112505.16141593833
-38911.17385607203,-52351.64258307054
-18173.873549255768,-24025.030453467938
-17670.206147328063,-23641.707354893155
-32321.053545602055,-45466.689270564115
-50006.611350905805,-85603.63809224367
-54984.63119894818,-71665.6444359097
-66603.29609267443,-106476.8495943545
-66913.87639430644,-106815.17353291596
-7.275957614183426e-12,2.9103830456733704e-11
-73337.40486048638,-116817.45133337234
-51898.35638205039,-90574.97352710168
-73620.76045671466,-117106.73597912888
-70450.78943416642,-106301.66682324634
-60434.774375546054,-77826.98764769189
1.5969854219522012e-15,2.711340475178085e-15
-64369.088385873154,-81280.90744226075
-67494.01915434813,-86016.26150099098
-67918.77533837792,-86415.20992376821
-533.1966516518514,-652.0865668438537
-1033.305821017025,-1391.452773253125
0.19506838176363317,0.19006249797195096
0.0,0.0
0.0,0.0
-1521.7096781956323,-1932.2513474500354
0.0,0.0
-1016.1858470753799,-1416.724514630677
0.0,0.0
-10564.20345755291,-14870.421871912773
-946.7698033076806,-1258.8477764231543
0.0,0.0
-94378.40606585515,-158978.18770655093
0.0,0.0
-32185.96146183317,-54711.71312540314
-24934.73934477602,-33409.86694119188
-9589.920694031403,-13521.778234229598
-1201.6071012627367,-1599.2087329864908
-1201.7394385841635,-1599.331917769588
-1200.4275240862469,-1597.923903807188
-1179.6122596683335,-1616.3118598931237
-947.7243471250988,-1259.8374415865485
-1284.479036372991,-1741.7493193857815
-954.4800512001117,-1231.0595170133101
-956.8321440017728,-1287.3354733541935
-446.89852989973286,-590.7794373803612
-434.51326591790234,-581.3534595465513
-10912.168256936098,-15350.371011459001
-52607.171854527944,-90055.39825305354
-5097.734791676219,-6644.2647889547125
-70066.95612782979,-112014.1072113957
-70393.68795110672,-112370.02546095481
0.0,0.0
-77151.26773513788,-122892.46505385109
-54597.29582553713,-95285.264674773
-77449.35905034661,-123196.79375485817
-38546.44771013374,-58161.89817903076
-757.0117875851308,-974.8683212654562
0.0,0.0
-806.2933827040481,-1018.132452303893
-1488.8386578165023,-1897.4175331100953
-1498.2082795230426,-1906.2178659654755
0.0,0.0
-6878.864465627616,-9263.099890513657
0.10837132320108367,0.10559027664996279
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-3251.794710641217,-4533.518446818168
0.0,0.0
-1274.8928655579275,-1794.569257257539
-525.9832240598228,-699.3598757906415
0.0,0.0
-4412.74936703381,-7433.171701212587
0.0,0.0
-1504.8842949199104,-2558.0965766151503
0.0,0.0
-240.7878882694256,-339.51067277271795
-667.5595007015215,-888.4492961036071
-667.6330214356491,-888.5177320942196
-666.9041800479151,-887.7355021151045
-655.340144260187,-897.9510332739603
-526.5135261806122,-699.9096897703068
-713.5994646516616,-967.6385107698783
-530.266695111173,-683.9219538962831
-3061.8628608056633,-4119.473514733408
-1430.0752956791418,-1890.4941996171522
-1390.4424509372875,-1860.3310705489648
-273.98745358377596,-385.4237733479365
-2459.69680967618,-4210.623152099522
-128.96326093223115,-168.08760924164298
-3276.0451165844192,-5237.3228294514565
-3291.321764140319,-5253.96411527019
0.0,0.0
-3607.278635607887,-5745.950477286134
-2552.7468902980363,-4455.150377172714
-3621.216169810233,-5760.1796462106695
-6525.1584815861315,-9845.669983962687
-2442.1282277106607,-3144.935765475836
0.0,0.0
-2601.111187448235,-3284.5063209005884
0.0,0.0
0.0,0.0
0.0,0.0
-4310.361424813875,-5804.345854141607
0.06935764684810408,0.06757777705519175
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-1795.2616631665053,-2502.8799758475307
0.0,0.0
-603.9708047446964,-850.1635453121748
-336.6292633982866,-447.59032050601047
0.0,0.0
-2109.1775608950156,-3552.8596016809065
0.0,0.0
-719.2949162943165,-1222.7025487345518
0.0,0.0
-86.57888241037676,-122.07613441987894
-427.23808044897305,-568.6075495063077
-427.2851337188159,-568.6513485403011
-426.818675230666,-568.1507213536674
-419.41769232651984,-574.6886612953347
-336.9686567555914,-447.9422014529959
-456.7036573770633,-619.2886468927222
-339.37068487115073,-437.7100504936211
-1690.403454403129,-2274.292669592405
-789.5207361561929,-1043.7103393719694
-767.6401031216267,-1027.0577785322403
-98.51628209474194,-138.5848756375816
-1175.6700610126252,-2012.5665726995528
-26.715221881231397,-34.819976975736985
-1565.8629742264748,-2503.3018810373724
-1573.164807970149,-2511.255975800946
0.0,0.0
-1724.1838412487039,-2746.4124527997606
-1220.1455400763723,-2129.4441230098632
-1730.8456142044502,-2753.2136194443074
-1322.8629495330692,-1996.039187686998
-750.7033560219193,-966.7444185882407
0.0,0.0
-799.5742711815136,-1009.6480152013603
0.0,0.0
0.0,0.0
